City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-03-23 20:34:14,-33.65,115.3333,55.33,82,0,12.37
1,Ambon,ID,2022-03-23 20:34:14,-3.6954,128.1814,79.36,81,100,12.73
2,Nipawin,CA,2022-03-23 20:34:15,53.3668,-104.0009,37.44,75,0,6.91
3,Saldanha,ZA,2022-03-23 20:34:15,-33.0117,17.9442,68.05,88,31,18.61
4,Albany,US,2022-03-23 20:30:35,42.6001,-73.9662,46.02,39,100,1.99
5,Colares,PT,2022-03-23 20:34:16,38.7992,-9.4469,57.33,81,40,17.0
6,Lasa,IT,2022-03-23 20:34:16,46.6166,10.7002,45.48,63,1,0.51
7,Iqaluit,CA,2022-03-23 20:34:17,63.7506,-68.5145,2.93,78,100,3.44
8,Bambanglipuro,ID,2022-03-23 20:34:17,-7.95,110.2833,76.6,91,100,1.28
9,Paragominas,BR,2022-03-23 20:34:18,-2.9667,-47.4833,77.09,94,98,1.9
10,Arman,RU,2022-03-23 20:34:18,59.7,150.1667,4.6,83,24,6.76
11,Jamestown,US,2022-03-23 20:31:18,42.097,-79.2353,46.02,66,100,11.5
12,Galle,LK,2022-03-23 20:34:19,6.0367,80.217,79.95,78,37,7.54
13,Ancud,CL,2022-03-23 20:34:19,-41.8697,-73.8203,54.23,59,44,12.57
14,Santo Antonio Do Ica,BR,2022-03-23 20:34:20,-3.1022,-67.9397,79.2,90,89,3.09
15,Yenagoa,NG,2022-03-23 20:34:20,4.9247,6.2642,80.31,84,99,4.5
16,Tuktoyaktuk,CA,2022-03-23 20:34:21,69.4541,-133.0374,-14.8,70,40,20.71
17,Norman Wells,CA,2022-03-23 20:34:21,65.282,-126.8329,1.44,66,20,11.5
18,Atuona,PF,2022-03-23 20:34:21,-9.8,-139.0333,79.09,81,96,16.8
19,Punta Arenas,CL,2022-03-23 20:32:18,-53.15,-70.9167,50.11,40,0,12.66
20,Soria,ES,2022-03-23 20:34:22,41.6667,-2.6667,39.11,97,100,11.39
21,Kapaa,US,2022-03-23 20:34:23,22.0752,-159.319,77.32,78,75,16.11
22,Codrington,AU,2022-03-23 20:34:23,-38.2667,141.9667,58.64,60,100,5.95
23,Urumqi,CN,2022-03-23 20:34:23,43.801,87.6005,27.55,93,100,6.71
24,Menongue,AO,2022-03-23 20:34:24,-14.6585,17.691,62.42,97,91,4.0
25,Port Hedland,AU,2022-03-23 20:34:24,-20.3167,118.5667,86.05,89,100,11.5
26,Huarmey,PE,2022-03-23 20:34:25,-10.0681,-78.1522,74.5,74,33,11.79
27,Bredasdorp,ZA,2022-03-23 20:34:25,-34.5322,20.0403,69.26,77,84,4.14
28,Nome,US,2022-03-23 20:34:25,64.5011,-165.4064,17.67,49,0,16.11
29,Cuamba,MZ,2022-03-23 20:34:26,-14.8031,36.5372,67.6,97,2,2.64
30,Victoria Point,AU,2022-03-23 20:34:26,-27.5833,153.3,72.1,95,100,1.01
31,Luis Correia,BR,2022-03-23 20:34:27,-2.8792,-41.6669,82.4,78,40,5.75
32,Saint-Jean-Port-Joli,CA,2022-03-23 20:34:27,47.2171,-70.2658,37.0,81,84,8.97
33,Namatanai,PG,2022-03-23 20:34:28,-3.6667,152.4333,80.17,81,100,5.61
34,Hammerfest,NO,2022-03-23 20:34:28,70.6634,23.6821,27.05,80,40,16.11
35,Christchurch,NZ,2022-03-23 20:30:35,-43.5333,172.6333,63.0,90,100,11.5
36,Vardo,NO,2022-03-23 20:34:29,70.3705,31.1107,28.38,74,75,10.36
37,Ushuaia,AR,2022-03-23 20:34:29,-54.8,-68.3,47.86,49,75,17.27
38,Puerto Ayora,EC,2022-03-23 20:31:16,-0.7393,-90.3518,85.96,87,79,8.01
39,Ponta Do Sol,PT,2022-03-23 20:34:30,32.6667,-17.1,62.06,66,28,11.54
40,Isangel,VU,2022-03-23 20:34:30,-19.55,169.2667,79.27,85,100,4.03
41,Lebu,CL,2022-03-23 20:34:30,-37.6167,-73.65,57.99,59,6,14.29
42,Rikitea,PF,2022-03-23 20:34:31,-23.1203,-134.9692,80.2,69,47,15.26
43,Mahebourg,MU,2022-03-23 20:34:31,-20.4081,57.7,80.89,83,75,9.22
44,Moree,AU,2022-03-23 20:34:32,-29.4667,149.85,71.62,68,47,11.5
45,Paso Blanco,PA,2022-03-23 20:34:32,9.1333,-79.2333,95.61,49,40,8.05
46,Maamba,ZM,2022-03-23 20:34:32,-17.3667,27.15,67.39,85,7,3.76
47,Ixtapa,MX,2022-03-23 20:32:27,20.7,-105.2,78.03,41,0,10.36
48,Quelimane,MZ,2022-03-23 20:35:33,-17.8786,36.8883,78.75,83,20,3.44
49,Hobart,AU,2022-03-23 20:35:33,-42.8794,147.3294,57.22,75,40,11.5
50,Avarua,CK,2022-03-23 20:35:34,-21.2078,-159.775,84.25,74,75,11.5
51,Labuhan,ID,2022-03-23 20:35:34,-6.8844,112.2051,78.94,86,100,5.44
52,Kaitangata,NZ,2022-03-23 20:35:35,-46.2817,169.8464,56.23,81,100,11.74
53,Tura,IN,2022-03-23 20:35:35,25.5198,90.2201,71.44,53,9,3.8
54,Bethel,US,2022-03-23 20:32:25,41.3712,-73.414,47.64,46,100,6.91
55,Mataura,NZ,2022-03-23 20:35:36,-46.1927,168.8643,51.87,97,100,6.76
56,Bonoua,CI,2022-03-23 20:35:36,5.2741,-3.595,82.02,86,49,4.12
57,Fortuna Foothills,US,2022-03-23 20:35:37,32.6578,-114.4119,82.69,7,0,10.36
58,Nanortalik,GL,2022-03-23 20:35:37,60.1432,-45.2371,27.43,78,100,2.89
59,Lagoa,PT,2022-03-23 20:35:37,39.05,-27.9833,60.4,67,100,9.01
60,Antalaha,MG,2022-03-23 20:35:38,-14.9003,50.2788,75.81,91,24,6.04
61,Katobu,ID,2022-03-23 20:35:38,-4.9408,122.5276,74.23,95,83,2.26
62,Whitianga,NZ,2022-03-23 20:35:39,-36.8333,175.7,66.72,84,83,14.88
63,Lalmohan,BD,2022-03-23 20:35:39,22.3384,90.7419,78.75,86,14,11.1
64,Beira,MZ,2022-03-23 20:35:39,-19.8436,34.8389,77.09,88,20,5.75
65,Valle De Allende,MX,2022-03-23 20:35:40,26.9333,-105.4,60.58,20,0,17.76
66,Natal,BR,2022-03-23 20:31:12,-5.795,-35.2094,84.85,74,20,14.97
67,Tasiilaq,GL,2022-03-23 20:35:40,65.6145,-37.6368,12.36,85,100,5.17
68,Barrow,US,2022-03-23 20:35:41,71.2906,-156.7887,-11.18,77,0,16.11
69,Pangnirtung,CA,2022-03-23 20:35:41,66.1451,-65.7125,-4.0,77,100,3.44
70,Fallon,US,2022-03-23 20:30:50,39.4735,-118.7774,68.45,28,0,0.0
71,Santiago Del Estero,AR,2022-03-23 20:31:30,-27.7951,-64.2615,84.7,57,65,7.29
72,Constitucion,CL,2022-03-23 20:35:42,-35.3333,-72.4167,59.86,57,11,15.84
73,Beringovskiy,RU,2022-03-23 20:35:42,63.05,179.3167,14.85,93,100,3.4
74,Hermanus,ZA,2022-03-23 20:35:43,-34.4187,19.2345,68.81,85,99,6.55
75,Jackson,US,2022-03-23 20:35:43,42.4165,-122.8345,73.15,51,0,4.0
76,Roma,US,2022-03-23 20:35:44,43.2128,-75.4557,47.08,40,100,12.66
77,Olching,DE,2022-03-23 20:35:44,48.2,11.3333,52.02,47,0,3.44
78,Gari,RU,2022-03-23 20:35:44,59.4307,62.3497,29.89,80,78,20.89
79,Port Alfred,ZA,2022-03-23 20:35:35,-33.5906,26.891,73.51,75,100,8.97
80,Kismayo,SO,2022-03-23 20:35:45,-0.3582,42.5454,80.51,89,69,15.14
81,Matara,LK,2022-03-23 20:35:45,5.9485,80.5353,77.2,85,11,6.42
82,Kautokeino,NO,2022-03-23 20:35:46,69.0125,23.0412,22.77,94,100,12.55
83,Zhuhai,CN,2022-03-23 20:35:46,22.2769,113.5678,62.31,94,75,11.5
84,Provideniya,RU,2022-03-23 20:35:47,64.3833,-173.3,14.36,67,0,8.99
85,Husavik,IS,2022-03-23 20:35:47,66.0449,-17.3389,34.32,86,94,10.29
86,Dikson,RU,2022-03-23 20:33:08,73.5069,80.5464,2.66,95,100,7.67
87,Vaini,TO,2022-03-23 20:35:48,-21.2,-175.2,77.16,100,97,6.91
88,Vestmannaeyjar,IS,2022-03-23 20:35:48,63.4427,-20.2734,43.63,91,100,26.69
89,Hamilton,US,2022-03-23 20:33:50,39.1834,-84.5333,70.88,56,75,24.16
90,Khatanga,RU,2022-03-23 20:35:49,71.9667,102.5,3.65,97,100,5.03
91,Alta Floresta,BR,2022-03-23 20:35:49,-9.8756,-56.0861,78.62,83,40,2.3
92,San Patricio,US,2022-03-23 20:35:50,28.017,-97.5169,75.29,21,0,6.96
93,Biak,ID,2022-03-23 20:35:50,-0.9131,122.8766,73.15,82,100,1.32
94,Bluff,NZ,2022-03-23 20:35:50,-46.6,168.3333,57.76,70,100,30.58
95,Iskateley,RU,2022-03-23 20:35:51,67.6803,53.1512,15.24,88,88,14.27
96,Lohardaga,IN,2022-03-23 20:36:51,23.4333,84.6833,71.35,12,17,4.5
97,Faanui,PF,2022-03-23 20:36:52,-16.4833,-151.75,80.71,73,99,9.57
98,Camacupa,AO,2022-03-23 20:36:52,-12.0167,17.4833,62.82,97,100,2.13
99,Polonnaruwa,LK,2022-03-23 20:36:52,7.9333,81.0,74.95,92,73,5.35
100,Zyryanovsk,KZ,2022-03-23 20:36:53,49.7386,84.2719,14.2,91,100,4.38
101,Tiksi,RU,2022-03-23 20:36:53,71.6872,128.8694,-15.12,100,63,3.38
102,Shaowu,CN,2022-03-23 20:36:54,27.3409,117.4831,51.53,94,72,2.57
103,Sunrise Manor,US,2022-03-23 20:36:54,36.2111,-115.0731,77.09,11,0,5.75
104,Muros,ES,2022-03-23 20:36:55,42.7762,-9.0603,55.83,77,30,8.41
105,Hithadhoo,MV,2022-03-23 20:36:55,-0.6,73.0833,83.46,66,13,15.17
106,Honiara,SB,2022-03-23 20:36:56,-9.4333,159.95,79.2,85,90,2.04
107,Padang,ID,2022-03-23 20:36:56,-0.9492,100.3543,75.42,71,8,4.41
108,Cabedelo,BR,2022-03-23 20:36:56,-6.9811,-34.8339,83.07,79,75,11.21
109,Butaritari,KI,2022-03-23 20:36:57,3.0707,172.7902,80.08,82,62,15.66
110,Angoche,MZ,2022-03-23 20:36:57,-16.2325,39.9086,76.21,93,17,7.74
111,Itarema,BR,2022-03-23 20:36:58,-2.9248,-39.9167,77.23,86,100,9.95
112,Dingle,PH,2022-03-23 20:36:58,10.9995,122.6711,75.94,85,5,5.66
113,Yellowknife,CA,2022-03-23 20:36:02,62.456,-114.3525,14.41,90,100,13.8
114,Alofi,NU,2022-03-23 20:36:59,-19.0595,-169.9187,82.29,83,75,5.75
115,Katete,UG,2022-03-23 20:36:59,-0.7818,29.7544,60.76,94,62,3.11
116,Esperance,AU,2022-03-23 20:36:59,-33.8667,121.9,55.24,76,36,4.32
117,Bathsheba,BB,2022-03-23 20:37:00,13.2167,-59.5167,83.01,65,40,21.85
118,Nakamura,JP,2022-03-23 20:37:00,32.9833,132.9333,40.1,94,4,4.25
119,Georgetown,MY,2022-03-23 20:37:01,5.4112,100.3354,80.53,88,20,8.05
120,Skjervoy,NO,2022-03-23 20:37:01,70.0311,20.9714,32.0,70,96,14.12
121,Saint-Philippe,RE,2022-03-23 20:37:02,-21.3585,55.7679,76.59,84,50,11.59
122,Tawau,MY,2022-03-23 20:37:02,4.2498,117.8871,77.13,94,96,3.22
123,Lake Havasu City,US,2022-03-23 20:37:02,34.4839,-114.3224,81.07,7,0,6.91
124,Oberkirch,DE,2022-03-23 20:37:03,48.5324,8.0786,51.44,58,2,4.16
125,Piacabucu,BR,2022-03-23 20:33:46,-10.4056,-36.4344,79.79,75,64,8.88
126,Orbetello,IT,2022-03-23 20:33:02,42.4408,11.2196,51.8,25,0,2.3
127,Chokurdakh,RU,2022-03-23 20:37:04,70.6333,147.9167,-3.66,98,100,4.12
128,Mahibadhoo,MV,2022-03-23 20:37:04,3.7833,72.9667,82.6,66,2,12.1
129,Aguas Vermelhas,BR,2022-03-23 20:37:05,-15.7472,-41.46,73.08,67,100,4.59
130,Chuy,UY,2022-03-23 20:37:05,-33.6971,-53.4616,74.25,76,100,11.97
131,Svetlogorsk,BY,2022-03-23 20:37:05,52.6333,29.7333,44.65,68,86,6.69
132,Saskylakh,RU,2022-03-23 20:37:06,71.9167,114.0833,-13.85,100,97,5.48
133,Seymchan,RU,2022-03-23 20:37:06,62.8833,152.4333,-0.49,94,100,1.92
134,Bambous Virieux,MU,2022-03-23 20:37:07,-20.3428,57.7575,80.85,83,75,9.22
135,Borogontsy,RU,2022-03-23 20:37:07,62.6683,131.1683,-1.16,99,97,4.59
136,Longyearbyen,SJ,2022-03-23 20:37:08,78.2186,15.6401,-0.56,65,20,9.22
137,East London,ZA,2022-03-23 20:37:08,-33.0153,27.9116,72.64,76,100,5.35
138,Chumikan,RU,2022-03-23 20:37:09,54.7183,135.315,3.76,91,5,8.3
139,Cam Ranh,VN,2022-03-23 20:37:09,11.9214,109.1591,76.96,100,20,1.14
140,Barra Patuca,HN,2022-03-23 20:37:10,15.8,-84.2833,82.49,65,50,14.92
141,Asyut,EG,2022-03-23 20:37:10,27.181,31.1837,53.78,27,0,7.99
142,Tancitaro,MX,2022-03-23 20:37:11,19.3333,-102.3667,69.82,8,19,7.45
143,Beloha,MG,2022-03-23 20:37:11,-25.1667,45.05,72.97,86,0,9.26
144,Flinders,AU,2022-03-23 20:38:12,-34.5833,150.8552,66.18,85,100,4.0
145,Vanderhoof,CA,2022-03-23 20:35:57,54.0166,-124.0198,43.9,46,48,12.73
146,Bonavista,CA,2022-03-23 20:38:13,48.6499,-53.1147,29.82,87,91,12.62
147,Mayumba,GA,2022-03-23 20:38:13,-3.432,10.6554,78.89,91,80,2.26
148,Vila Franca Do Campo,PT,2022-03-23 20:35:54,37.7167,-25.4333,61.21,71,33,5.3
149,Cidreira,BR,2022-03-23 20:38:14,-30.1811,-50.2056,72.99,80,100,14.34
150,Yerbogachen,RU,2022-03-23 20:38:14,61.2767,108.0108,-1.01,100,100,2.8
151,Kralendijk,BQ,2022-03-23 20:38:15,12.15,-68.2667,84.18,61,40,21.85
152,Mount Gambier,AU,2022-03-23 20:38:15,-37.8333,140.7667,49.91,87,100,1.14
153,Valencia,ES,2022-03-23 20:37:02,39.3333,-0.8333,49.75,98,100,20.49
154,Andenes,NO,2022-03-23 20:38:16,69.3143,16.1194,35.58,80,75,18.41
155,Dicabisagan,PH,2022-03-23 20:38:16,17.0818,122.4157,76.08,90,85,2.68
156,Saint-Augustin,CA,2022-03-23 20:38:17,51.226,-58.6502,29.66,75,90,28.66
157,Stornoway,GB,2022-03-23 20:38:17,58.2093,-6.3865,48.92,74,0,3.44
158,Castro,BR,2022-03-23 20:38:17,-24.7911,-50.0119,68.41,83,64,5.84
159,Baracoa,CU,2022-03-23 20:38:18,20.3467,-74.4958,81.86,63,12,8.08
160,Santa Isabel Do Rio Negro,BR,2022-03-23 20:38:19,-0.4139,-65.0192,82.08,93,74,2.1
161,Vostok,RU,2022-03-23 20:38:19,46.4856,135.8833,13.55,94,45,4.43
162,Banjar,ID,2022-03-23 20:38:19,-8.19,114.9675,78.35,93,99,1.99
163,Olafsvik,IS,2022-03-23 20:38:20,64.8945,-23.7142,42.01,99,100,14.09
164,Kattivakkam,IN,2022-03-23 20:38:20,13.2167,80.3167,84.29,89,84,7.16
165,Nikolskoye,RU,2022-03-23 20:38:21,59.7035,30.7861,32.72,97,22,3.69
166,Bengkulu,ID,2022-03-23 20:38:21,-3.8004,102.2655,74.97,84,87,3.78
167,Ugoofaaru,MV,2022-03-23 20:38:21,5.6667,73.0,82.56,65,4,11.14
168,Khor,RU,2022-03-23 20:38:22,47.8861,134.9464,12.15,96,56,3.74
169,Grand-Santi,GF,2022-03-23 20:38:22,4.25,-54.3833,75.13,98,94,3.98
170,Kui Buri,TH,2022-03-23 20:38:23,12.0828,99.8543,77.07,88,74,4.18
171,Shu,KZ,2022-03-23 20:38:23,43.5983,73.7614,31.86,96,100,5.99
172,Cockburn Town,TC,2022-03-23 20:36:43,21.4612,-71.1419,80.56,57,40,17.27
173,Maniitsoq,GL,2022-03-23 20:38:24,65.4167,-52.9,4.01,90,8,7.4
174,High Prairie,CA,2022-03-23 20:38:24,55.4334,-116.4858,52.02,73,30,11.03
175,Najran,SA,2022-03-23 20:38:24,17.4924,44.1277,75.85,44,72,5.14
176,Camacha,PT,2022-03-23 20:38:25,33.0833,-16.3333,56.62,63,40,19.57
177,Arraial Do Cabo,BR,2022-03-23 20:38:25,-22.9661,-42.0278,80.56,57,0,12.66
178,Lapeer,US,2022-03-23 20:38:26,43.0514,-83.3188,47.07,76,100,10.36
179,Enshi,CN,2022-03-23 20:38:26,30.3,109.4833,51.13,94,100,0.27
180,Buxton,GB,2022-03-23 20:38:27,53.2574,-1.9098,51.19,73,100,2.08
181,Nuuk,GL,2022-03-23 20:38:27,64.1835,-51.7216,16.41,67,20,12.66
182,Srednekolymsk,RU,2022-03-23 20:38:28,67.45,153.6833,-2.92,100,99,2.04
183,Bireun,ID,2022-03-23 20:38:28,5.203,96.7009,77.97,83,100,2.91
184,Craig,US,2022-03-23 20:38:28,40.5153,-107.5464,37.35,48,0,0.0
185,Comodoro Rivadavia,AR,2022-03-23 20:38:29,-45.8667,-67.5,55.26,50,40,17.27
186,Alice Springs,AU,2022-03-23 20:38:29,-23.7,133.8833,69.35,32,68,5.75
187,Reserva,BR,2022-03-23 20:38:30,-24.6503,-50.8506,66.56,96,83,3.62
188,Kiunga,PG,2022-03-23 20:39:30,-6.1219,141.2906,72.27,99,95,2.44
189,Upernavik,GL,2022-03-23 20:39:31,72.7868,-56.1549,-8.59,97,55,3.42
190,Rudbar,AF,2022-03-23 20:39:31,30.15,62.6,61.09,34,0,11.5
191,Baoshan,CN,2022-03-23 20:39:31,46.5586,131.4244,21.52,97,75,2.06
192,Kungurtug,RU,2022-03-23 20:39:32,50.5994,97.5228,-1.26,96,74,1.79
193,Te Anau,NZ,2022-03-23 20:39:32,-45.4167,167.7167,55.42,75,85,6.11
194,Tezu,IN,2022-03-23 20:39:33,27.9167,96.1667,73.31,48,86,3.56
195,Mackay,AU,2022-03-23 20:39:33,-21.15,149.2,66.69,94,3,4.61
